cliente_id,provincia,consumo_kwh,paneles_solares,tarifa,mes
1,Catamarca,1396,6,industrial,1
2,Tucumán,1365,7,industrial,3
3,Tucumán,650,9,industrial,6
4,Tucumán,736,13,industrial,11
5,Catamarca,209,11,residencial,7
6,Salta,503,12,industrial,12
7,Santiago del Estero,753,4,industrial,7
8,Santiago del Estero,951,20,comercial,3
9,Santiago del Estero,863,4,comercial,3
10,Salta,748,10,residencial,6
11,Jujuy,239,1,industrial,7
12,Salta,422,0,residencial,4
13,Santiago del Estero,486,12,comercial,12
14,Jujuy,612,11,residencial,11
15,Tucumán,1490,19,industrial,1
16,Tucumán,617,17,industrial,4
17,Catamarca,1436,0,comercial,9
18,Salta,563,20,residencial,1
19,Jujuy,1103,19,residencial,6
20,Jujuy,1168,1,comercial,5
21,Catamarca,955,6,comercial,11
22,Santiago del Estero,881,3,residencial,12
23,Catamarca,611,3,industrial,4
24,Santiago del Estero,828,20,comercial,8
25,Tucumán,361,15,comercial,5
26,Salta,873,1,comercial,5
27,Jujuy,1281,2,comercial,11
28,Salta,851,16,industrial,1
29,Salta,326,9,industrial,10
30,Jujuy,1392,0,residencial,11
31,Tucumán,1419,16,residencial,10
32,Jujuy,1048,1,industrial,1
33,Salta,968,20,industrial,11
34,Catamarca,1059,18,comercial,10
35,Catamarca,468,8,comercial,11
36,Jujuy,1470,10,industrial,12
37,Santiago del Estero,639,20,industrial,6
38,Catamarca,1409,7,residencial,1
39,Tucumán,1284,13,residencial,1
40,Tucumán,721,7,residencial,7
41,Santiago del Estero,696,8,residencial,4
42,Tucumán,94,11,residencial,1
43,Tucumán,518,9,residencial,10
44,Tucumán,1364,2,comercial,4
45,Salta,991,17,industrial,1
46,Catamarca,1494,18,industrial,5
47,Jujuy,284,15,comercial,1
48,Catamarca,666,1,industrial,4
49,Jujuy,1274,9,comercial,7
50,Santiago del Estero,445,10,residencial,3
51,Santiago del Estero,568,16,comercial,2
52,Salta,1291,19,comercial,5
53,Jujuy,486,5,industrial,7
54,Jujuy,712,9,residencial,12
55,Tucumán,1080,8,comercial,1
56,Salta,1099,19,residencial,5
57,Salta,292,17,residencial,4
58,Salta,835,8,comercial,5
59,Jujuy,110,4,residencial,10
60,Tucumán,241,8,industrial,4
61,Tucumán,705,14,industrial,9
62,Tucumán,761,12,residencial,11
63,Santiago del Estero,1273,1,comercial,2
64,Jujuy,781,17,industrial,3
65,Jujuy,848,10,comercial,3
66,Catamarca,953,7,comercial,8
67,Tucumán,320,10,industrial,5
68,Jujuy,1046,12,comercial,10
69,Catamarca,437,18,comercial,11
70,Jujuy,1461,12,industrial,5
71,Santiago del Estero,382,8,residencial,10
72,Santiago del Estero,370,16,residencial,4
73,Tucumán,841,4,residencial,2
74,Catamarca,807,0,comercial,6
75,Santiago del Estero,831,2,industrial,12
76,Jujuy,735,13,comercial,12
77,Santiago del Estero,477,3,residencial,3
78,Salta,1125,20,comercial,6
79,Tucumán,1357,15,comercial,12
80,Jujuy,749,8,comercial,5
81,Catamarca,452,3,residencial,3
82,Jujuy,1017,8,industrial,2
83,Salta,173,16,industrial,8
84,Santiago del Estero,333,4,residencial,2
85,Jujuy,145,14,comercial,3
86,Santiago del Estero,1118,14,comercial,12
87,Catamarca,497,18,industrial,10
88,Salta,856,7,comercial,10
89,Tucumán,1204,10,residencial,6
90,Santiago del Estero,1093,1,industrial,12
91,Jujuy,790,10,comercial,1
92,Tucumán,289,13,residencial,2
93,Catamarca,1276,17,residencial,12
94,Salta,300,12,industrial,10
95,Santiago del Estero,355,17,residencial,1
96,Jujuy,694,14,industrial,2
97,Tucumán,863,18,industrial,9
98,Salta,166,1,residencial,12
99,Santiago del Estero,503,19,residencial,6
100,Jujuy,900,19,residencial,3
101,Salta,904,14,residencial,5
102,Jujuy,798,0,residencial,7
103,Salta,913,14,residencial,10
104,Santiago del Estero,1377,10,comercial,5
105,Jujuy,116,7,residencial,7
106,Catamarca,871,0,industrial,10
107,Jujuy,215,13,residencial,10
108,Salta,177,14,comercial,9
109,Tucumán,862,9,comercial,5
110,Jujuy,366,8,comercial,11
111,Catamarca,357,15,industrial,1
112,Santiago del Estero,774,17,residencial,3
113,Catamarca,733,16,industrial,9
114,Salta,514,15,comercial,5
115,Catamarca,380,1,comercial,4
116,Tucumán,1213,7,residencial,5
117,Catamarca,405,19,comercial,12
118,Tucumán,1439,17,industrial,1
119,Catamarca,677,3,industrial,8
120,Santiago del Estero,477,5,comercial,9
121,Tucumán,617,10,residencial,11
122,Santiago del Estero,473,19,comercial,8
123,Salta,1037,20,residencial,4
124,Tucumán,798,15,comercial,10
125,Tucumán,310,14,comercial,12
126,Catamarca,328,20,comercial,10
127,Santiago del Estero,98,10,comercial,5
128,Catamarca,931,3,residencial,9
129,Santiago del Estero,1318,14,industrial,1
130,Santiago del Estero,1086,20,residencial,3
131,Jujuy,1374,8,residencial,6
132,Salta,84,10,comercial,3
133,Santiago del Estero,892,2,residencial,9
134,Santiago del Estero,1338,11,comercial,2
135,Jujuy,354,20,industrial,2
136,Tucumán,868,8,residencial,6
137,Salta,912,1,residencial,1
138,Jujuy,1230,12,comercial,1
139,Jujuy,705,1,comercial,10
140,Catamarca,1173,14,industrial,7
141,Catamarca,500,3,comercial,6
142,Jujuy,683,7,industrial,11
143,Salta,110,4,residencial,9
144,Santiago del Estero,470,8,industrial,7
145,Santiago del Estero,833,3,comercial,10
146,Salta,154,9,residencial,2
147,Jujuy,472,5,comercial,5
148,Catamarca,1124,8,residencial,2
149,Jujuy,217,11,industrial,5
150,Tucumán,943,7,comercial,7
151,Jujuy,243,9,comercial,2
152,Santiago del Estero,290,15,industrial,1
153,Catamarca,806,12,comercial,9
154,Jujuy,923,13,comercial,2
155,Santiago del Estero,1107,10,residencial,2
156,Santiago del Estero,569,12,residencial,10
157,Tucumán,126,20,comercial,10
158,Jujuy,1126,5,comercial,4
159,Jujuy,521,1,comercial,9
160,Salta,950,20,industrial,9
161,Catamarca,1443,20,residencial,1
162,Catamarca,1247,6,industrial,10
163,Jujuy,747,11,industrial,3
164,Santiago del Estero,1206,14,residencial,11
165,Catamarca,1056,9,comercial,8
166,Salta,308,3,residencial,5
167,Catamarca,1439,19,comercial,4
168,Jujuy,587,17,comercial,3
169,Salta,156,1,residencial,10
170,Catamarca,523,16,comercial,7
171,Tucumán,945,6,industrial,6
172,Salta,1288,8,residencial,6
173,Tucumán,816,19,residencial,1
