id,provincia,ciudad,producto,hectareas,produccion_tn,anio
1,Santiago del Estero,Santiago Capital,Pimiento,287,463.55,2023
2,Catamarca,San Fernando del Valle,Vino,89,735.0,2022
3,Catamarca,San Fernando del Valle,Quinua,170,449.84,2023
4,Tucumán,San Miguel de Tucumán,Caña de azúcar,480,118.44,2024
5,Santiago del Estero,Santiago Capital,Pimiento,300,730.77,2024
6,Tucumán,San Miguel de Tucumán,Nuez,452,726.72,2024
7,Tucumán,San Miguel de Tucumán,Caña de azúcar,23,142.79,2023
8,Catamarca,San Fernando del Valle,Tabaco,381,95.73,2025
9,Tucumán,San Miguel de Tucumán,Pimiento,90,707.0,2025
10,Santiago del Estero,Santiago Capital,Quinua,49,277.14,2022
11,Salta,Salta Capital,Tabaco,357,236.93,2024
12,Salta,Salta Capital,Miel,49,609.7,2022
13,Catamarca,San Fernando del Valle,Papa andina,59,270.82,2023
14,Santiago del Estero,Santiago Capital,Nuez,20,671.79,2024
15,Tucumán,San Miguel de Tucumán,Quinua,458,117.53,2023
16,Salta,Salta Capital,Vino,367,334.34,2025
17,Santiago del Estero,Santiago Capital,Pimiento,247,108.2,2023
18,Santiago del Estero,Santiago Capital,Nuez,369,271.14,2025
19,Jujuy,San Salvador de Jujuy,Caña de azúcar,67,733.51,2022
20,Salta,Salta Capital,Vino,221,701.98,2022
21,Salta,Salta Capital,Pimiento,321,423.25,2024
22,Tucumán,San Miguel de Tucumán,Pimiento,380,731.9,2023
23,Jujuy,San Salvador de Jujuy,Pimiento,289,752.26,2023
24,Tucumán,San Miguel de Tucumán,Vino,347,386.26,2024
25,Catamarca,San Fernando del Valle,Nuez,154,183.53,2023
26,Salta,Salta Capital,Pimiento,112,521.57,2022
27,Santiago del Estero,Santiago Capital,Pimiento,256,535.86,2023
28,Salta,Salta Capital,Caña de azúcar,188,327.13,2023
29,Santiago del Estero,Santiago Capital,Miel,396,377.08,2023
30,Catamarca,San Fernando del Valle,Tabaco,455,460.14,2022
31,Jujuy,San Salvador de Jujuy,Miel,464,463.07,2023
