fecha,provincia,atractivo,visitantes,temperatura_prom,satisfaccion
2025-04-15,Jujuy,Tren a las Nubes,4816,27.2,5
2025-04-11,Santiago del Estero,Termas,7412,13.8,7
2025-12-28,Salta,Valles Calchaquíes,475,20.1,4
2025-08-19,Santiago del Estero,Tren a las Nubes,5176,34.2,1
2025-03-08,Jujuy,Valles Calchaquíes,7755,32.1,4
2025-07-12,Salta,Quebrada de Humahuaca,6856,21.7,5
2025-06-10,Tucumán,Parque Nacional Los Cardones,2718,26.5,9
2025-08-25,Salta,Parque Nacional Los Cardones,9344,22.4,6
2025-07-05,Santiago del Estero,Valles Calchaquíes,4381,18.3,10
2025-11-06,Santiago del Estero,Termas,8335,14.3,7
2025-12-01,Jujuy,Termas,4388,27.8,7
2025-08-02,Salta,Termas,9994,13.6,7
2025-07-01,Santiago del Estero,Tren a las Nubes,7862,15.8,9
2025-05-09,Santiago del Estero,Tren a las Nubes,113,34.8,9
2025-09-02,Santiago del Estero,Termas,7918,14.3,5
2025-01-07,Santiago del Estero,Termas,509,30.2,6
2025-01-01,Catamarca,Parque Nacional Los Cardones,7752,25.1,2
2025-02-06,Salta,Parque Nacional Los Cardones,83,14.7,8
2025-05-24,Santiago del Estero,Termas,7665,17.2,8
2025-02-06,Jujuy,Quebrada de Humahuaca,5702,11.6,8
2025-08-12,Catamarca,Termas,4387,13.3,9
2025-04-08,Jujuy,Parque Nacional Los Cardones,2532,31.7,4
2025-09-22,Tucumán,Valles Calchaquíes,7028,17.9,10
2025-01-18,Jujuy,Tren a las Nubes,549,12.5,4
2025-04-17,Salta,Ruta del Adobe,6062,28.5,10
2025-10-13,Santiago del Estero,Valles Calchaquíes,7841,30.5,8
2025-08-21,Salta,Termas,3831,19.6,2
2025-04-16,Jujuy,Valles Calchaquíes,6447,15.5,7
2025-03-21,Jujuy,Ruta del Adobe,904,18.9,10
2025-02-12,Jujuy,Parque Nacional Los Cardones,8946,21.0,2
2025-06-17,Jujuy,Tren a las Nubes,9639,35.0,6
2025-03-12,Catamarca,Ruta del Adobe,1318,27.6,8
2025-02-07,Santiago del Estero,Parque Nacional Los Cardones,3349,26.8,2
2025-07-07,Jujuy,Valles Calchaquíes,3952,15.7,2
2025-05-10,Santiago del Estero,Parque Nacional Los Cardones,3082,25.5,9
2025-12-13,Catamarca,Tren a las Nubes,5180,24.8,2
2025-10-16,Jujuy,Quebrada de Humahuaca,5449,27.4,8
2025-07-06,Catamarca,Parque Nacional Los Cardones,8030,23.5,10
2025-01-04,Salta,Termas,3145,13.1,7
2025-02-26,Jujuy,Tren a las Nubes,2923,34.2,8
2025-03-15,Tucumán,Ruta del Adobe,372,20.5,1
2025-03-20,Catamarca,Parque Nacional Los Cardones,9802,17.2,2
2025-11-18,Catamarca,Quebrada de Humahuaca,4257,13.6,2
2025-08-01,Jujuy,Tren a las Nubes,2566,17.5,7
2025-09-27,Jujuy,Ruta del Adobe,8142,16.3,5
2025-03-22,Santiago del Estero,Valles Calchaquíes,5135,29.5,8
2025-06-05,Catamarca,Ruta del Adobe,9729,32.1,1
2025-12-28,Santiago del Estero,Valles Calchaquíes,1461,23.7,4
2025-12-21,Santiago del Estero,Tren a las Nubes,6546,25.8,3
2025-05-11,Santiago del Estero,Ruta del Adobe,9924,17.0,1
2025-07-07,Santiago del Estero,Quebrada de Humahuaca,6291,27.7,6
2025-07-08,Jujuy,Quebrada de Humahuaca,4059,19.9,4
2025-09-20,Santiago del Estero,Parque Nacional Los Cardones,506,32.6,6
2025-02-05,Jujuy,Parque Nacional Los Cardones,8634,11.1,10
2025-11-18,Catamarca,Quebrada de Humahuaca,2945,34.2,10
2025-06-13,Santiago del Estero,Valles Calchaquíes,7586,22.0,4
2025-09-12,Santiago del Estero,Valles Calchaquíes,3649,17.3,5
2025-06-19,Santiago del Estero,Termas,9414,31.2,4
2025-01-20,Tucumán,Termas,3449,21.3,3
2025-09-26,Tucumán,Tren a las Nubes,5961,19.2,5
2025-08-22,Tucumán,Ruta del Adobe,7846,20.9,5
2025-10-07,Jujuy,Quebrada de Humahuaca,8957,13.2,6
2025-07-20,Jujuy,Tren a las Nubes,9831,28.1,10
2025-10-11,Catamarca,Valles Calchaquíes,468,31.6,5
2025-02-17,Salta,Termas,5362,32.5,1
2025-12-26,Santiago del Estero,Termas,3124,11.1,7
2025-11-19,Jujuy,Termas,2947,20.0,7
2025-09-25,Catamarca,Quebrada de Humahuaca,9568,27.6,4
2025-05-18,Jujuy,Ruta del Adobe,703,20.4,6
2025-06-25,Salta,Quebrada de Humahuaca,8465,20.8,7
2025-06-10,Jujuy,Tren a las Nubes,7243,15.0,1
2025-01-13,Santiago del Estero,Parque Nacional Los Cardones,4813,11.1,8
2025-03-27,Salta,Parque Nacional Los Cardones,7578,23.7,3
2025-07-21,Tucumán,Termas,239,16.6,8
2025-02-07,Tucumán,Ruta del Adobe,8878,22.2,10
2025-04-22,Salta,Valles Calchaquíes,2037,15.4,1
2025-03-17,Tucumán,Valles Calchaquíes,1652,29.8,1
2025-09-27,Tucumán,Quebrada de Humahuaca,9967,33.3,9
2025-05-02,Catamarca,Valles Calchaquíes,8010,14.0,6
2025-11-17,Salta,Termas,7064,20.1,8
2025-10-14,Catamarca,Quebrada de Humahuaca,7903,23.8,1
2025-03-09,Tucumán,Termas,6680,33.8,10
2025-06-06,Jujuy,Termas,7798,12.3,7
